Id,NumPedido,FecEntrega,ImporteNeto,CodProducto,Detalle,Producto,ProdDesc,Fecha,ModalidadPago,ClientePreferente,TiempoAtencion
1,24699479,02/07/2013,43.46,6901104,Venta,6901104,NU.EXPERTA PRE MEZCLA BIZCOCHUELO 10KG,01/07/2013,2,0,2
2,24699479,02/07/2013,-0.43,,Descuento,6901104,,01/07/2013,2,0,3
3,24699479,02/07/2013,58.47,6901105,Venta,6901105,NU.EXPERTA PRE MEZCLA TORTA CHOC.10KG.,01/07/2013,2,1,6
4,24699479,02/07/2013,-0.58,,Descuento,6901105,,01/07/2013,2,1,3
5,24699479,02/07/2013,89.49,17413,Venta,17413,HARINA BLANCA NIEVE EXT. PP. 50K,01/07/2013,1,1,4
6,24699479,02/07/2013,-0.89,,Descuento,17413,,01/07/2013,1,0,10
7,24699479,02/07/2013,57.75,18110,Venta,18110,HARINA BLANCA FLOR PREP.1K 12BOL,01/07/2013,1,0,2
8,24699479,02/07/2013,39.54,98081,Venta,98081,NU.HARINA PREP.ESPIGA DE ORO 1K.10BOL,01/07/2013,2,1,2
9,24699479,02/07/2013,9.07,18231,Venta,18231,HARINA FAVORITA SIN PREP.COC.180G.18BOL,01/07/2013,1,1,10
10,24699479,02/07/2013,117.48,16104,Venta,16104,FID.LAVAGGI SPAGHETTI 500GR 20BOL,01/07/2013,2,1,3
11,24699479,02/07/2013,15.78,6102,Venta,6102,MANTECA TROPICAL 12BLS 4DSP,01/07/2013,2,1,10
12,24699479,02/07/2013,118,98231,Venta,98231,N. GALL.SODA DIA 250G. 12PQT,01/07/2013,1,1,9
13,24810748,09/07/2013,27.45,4300004,Venta,4300004,FID.ALIANZA CAB.DE ANGEL 250GR 40BOL,01/07/2013,2,1,8
14,24810748,09/07/2013,146.85,16104,Venta,16104,FID.LAVAGGI SPAGHETTI 500GR 20BOL,01/07/2013,1,1,9
15,24810748,09/07/2013,57.75,18110,Venta,18110,HARINA BLANCA FLOR PREP.1K 12BOL,01/07/2013,2,0,8
16,24810748,09/07/2013,39.54,98081,Venta,98081,NU.HARINA PREP.ESPIGA DE ORO 1K.10BOL,01/07/2013,1,0,10
17,24810748,09/07/2013,20.06,18226,Venta,18226,HARINA FAVORITA SIN PREP.1K 6BOL,01/07/2013,1,0,6
18,24810748,09/07/2013,96.71,39011,Venta,39011,AZUCAR FINITA NEGRITA 1KG.5BOL,01/07/2013,2,0,2
19,24810748,09/07/2013,-0.97,,Descuento,39011,,01/07/2013,1,1,1
20,24810748,09/07/2013,9.62,18956,Venta,18956,VAINILLA NEGRITA  90ML.12BOT.12DSP,01/07/2013,1,1,2
21,24810748,09/07/2013,5.88,18951,Venta,18951,VAINILLA NEGRITA  30ML.12BOT.24DSP,01/07/2013,2,0,2
22,24810748,09/07/2013,91.43,17454,Venta,17454,HARINA BLANCA NIEVE ESP. PP. 50K,01/07/2013,1,1,6
23,24810748,09/07/2013,-0.91,,Descuento,17454,,01/07/2013,1,0,6
24,24810748,09/07/2013,100.04,3702012,Venta,3702012,NUEVA MANTECA FAMOSA COSTA 10KG 1CJA,01/07/2013,2,1,6
25,24810748,09/07/2013,-1,,Descuento,3702012,,01/07/2013,2,0,7
26,24810748,09/07/2013,15.78,6102,Venta,6102,MANTECA TROPICAL 12BLS 4DSP,01/07/2013,2,0,4
27,24810748,09/07/2013,14.71,3600001,Venta,3600001,NU. MARGA.PRIMAVERA MULTIUSO 2KG 4PQT,01/07/2013,2,0,8
28,24810748,09/07/2013,-0.15,,Descuento,3600001,,01/07/2013,1,0,9
29,24810748,09/07/2013,70.61,33644,Venta,33644,FUDGE ESPECIAL  500GR.16BOL,01/07/2013,1,1,10
30,24810748,09/07/2013,72.22,18972,Venta,18972,VAINILLA NEGRITA 1L. 1BOT,01/07/2013,2,1,5
31,24810748,09/07/2013,-0.72,,Descuento,18972,,01/07/2013,2,0,6
32,24810748,09/07/2013,40.26,14143,Venta,14143,N.FID.DON VITTORIO LING.GR.500GR 20BOL,01/07/2013,1,1,7
33,24810748,09/07/2013,118,98231,Venta,98231,N. GALL.SODA DIA 250G. 12PQT,01/07/2013,1,1,1
34,24810748,09/07/2013,23.6,98299,Venta,98299,N. GALL.VAINILLA DIA 250G. 12PQT,01/07/2013,1,1,10
35,24810748,09/07/2013,0,4508270,Venta,4508270,GALLETA VICTORIA SODA V ORIG 6PQT.36PCK,01/07/2013,1,1,10
